"prompt","completion"
"Also, it's well known that slavic women don't like to wash ..down there ..:(( prepare to ask her to go to wash before..hmm I mean if you want to fuck a slavic woman..Their pussy stinks... ->"," identity"
"HEEY FUCKFACE YOU ARE A REAL BITCH ASS PUSSY WHIPPED MUTHAFUCKING FAGGOT SHITFACEd DICK HEAd ->"," severe"
"you are an idiot. i am NOT RACIST! but you are an IDIOT! ->"," identity"
"OPPS MY BAD BITCH 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN 

FUCK WIKIPEDIA BITCH AND DAVID EPPSTEIN ->"," obscene"
"The vast majority were delete comments. Take it to WP:DRV if you disagree with its deletion. Cheers. ->"," none"
"You're being a jerk! 

Why do you insist on deleting the Radioactive Friends of the Deep page!?  This comic series is legitamet and one of the reasons you don't get anything on Google is because it's all in a different language and Google doesn't do different languages!!  Can we please just leave the page?  We are currently trying to get more soild information and trying to find a link that well let people view the actually comics.
Thank you for your time! ->"," toxic"
"You are a gutless piece of shit, hate to be you Aussie Legend, you are no legend, your are a retard.get a life lame ass ->"," obscene"
"Pissed of Nigger + A lot of computers in my school = A lotta Vadalizm 

Ha... ya can suck my dick, I told ya nigga ta unblock me but you didn't so know ya ganna pay anyone who banned me in the past is ganna get fuked over HARD! ->"," identity"
"YOU'RE THE DISEASE OF AMERICA
STEALING JOBS FROM REGULAR PEOPLE AND WORKING FOR 40 CENTS AN HOUR! FUCKING MEXICAN MONKEY! 69.156.179.180 ->"," identity"
"eat shit get rid of goofs you queers. ->"," insult"
"What the fuck: User:Mega revenge/Colorado Timberline Acadamy

I was drafting a article on my talk page you dickweed. i was going to copyedit that shit.

and why the fuck do you care in the first place you retard.

ITS MY USERPAGE I CAN DO WHATEVER THE HELL I WANT FOR fuks SAKE

yes i mad. restore pl0x. ->"," obscene"
"""

You post a link to the National Review—and then have the nerve to go by the moniker of """"Neutral arbiter""""? What kind of bullshit is that? == "" ->"," obscene"
"Oh shit, stop sending warning, fucking bitch... ->"," severe"
"Anti-Russian movement in Central Asia 

For one years ago we established a network of a Central Asian youth party that is motivated to act against pig-like Russians. We won´t let your children alive in our countries till the last dirty slavic Russian leave our countries, from Caucasia to south Russia. Your sons and daughters you send to our countries will lose their heads. Kill one Caucasian and Central Asian and we will kill for every single individual exactly 32 Russians. Death to dirty slavic Russians!!! Germans kille you dirty slavic bastards and we will kill you dirty slavic bastards. You are born to serve non-slavics...not the other way round. Sieg, Heil Islam o Gorgon! ->"," threat"
"You're an idiot. 

Yeah, you blocked me because I used Action Replay codes on Diamond, how mature. Get out of my life. ->"," toxic"
"You are a real idiot.  Your family issues and lack of parental love should not be mirrored on this page.  You are an embarassment to all true Wikipedians. ->"," insult"
"""
No, at the bottom of all the pages, it says something to the effect of """"haha beep you r dumb haha"""""" ->"," insult"
"Stop being a fucking cunt licker, fuck eater ->"," insult"
"mother fucking cunt bitch ->"," severe"
"""

Did I mention """"FUCK YOU GEEK ASSHOLES""""?  Just checking"" ->"," obscene"
""", 5 August 2007 (UTC)

WHEN YOU IGNORE BIASED BULLSHIT SPREAD BY YOUR """"FRIENDS"""" ON THIS SITE, OF COURSE I'M GOING TO COME AFTER ALL YOU FUCKERS!

AS FAR AS I'M CONCERNED, ADMIN MEAN TARGET UNTIL YOU PROVE YOURSELVES!

AND Gscshoyru - I GOT TWO WORDS FOR YOU - FUCKING RUN!
 21:37"" ->"," toxic"
"2009 (UTC)
Go F*** yourself Golbez. You and Mohammed Atta ought to rot in hell.   01:16, 11 September ->"," insult"
"Sally Nicholls 

Regarding this edit—since when is this restricted to people in official membership? I'll admit here and now to knowing Sally (through YFGM), and I think it's ludicrous to only list people here if they are in membership. Is this meant to suggest that attenders can't be considered Quakers?

Sally served, IIRC, as representative from her old Monthly Meeting to YFGM, and was also a volunteer at the 2005 World Gathering of Young Friends. This interview also has her stating that she's a quaker. ->"," none"
"EAT CRAP AND DIE!!!!! ->"," threat"
"i hope you feel like shit for deleting my post. go fuck yourself ->"," severe"
"you should die 
from cancer. ->"," severe"
"Fuck you. My edits were legit. Paula Deen is fucking obese dude it's a fact.

What's your problem? Look at this inane list of rules at the top of your page also? Go get laid bro. ->"," obscene"
"""

The true censorship is coming from that tiny, vocal and politicised minority who wish to remove the term from the language. coll "" ->"," none"
"Do you sex goats? 

Look, don't voice this around, see, but I heard at the village pump that you rape farm animals?  Is it true? ->"," toxic"
"Another little hitler who decides to ban me you are a disgrace. I diD nothing yo you and as usual the bullying thug decides to spring out of nowhere go after me who can you say this is no vinditice. As i have said lots of you moderators are just little hitlers who stand up for eachother but on else. You are a bully, and do not remove my reply. 
You are a bully as usaul another smug bully who get spleasyre trying to keep someone down. I am can imagine you are prbaly the worst of the lot a ottal nightmare. and dont tell me to be civil to someone who bbans me yiou bully you clam down this ps my user page you bullying thug. 
I bet you are troll. ->"," insult"
"Remeber rahmatul lil alameen? You Sunni monkeys should remember this! Stop persecuting Ahmadis you terrorists! ->"," identity"
"Wow... 

This page is so awful. It has some decent information but it looks like a 12 year old wrote a C grade essay. I'd like to get some people to help me fix it up. 137.92.97.111 ->"," toxic"
"Get fucked you Dutch cunt. ->"," obscene"
"MUST BE A ASS BUDDY OF CRUISERFAGGOT ->"," identity"
"So why does this have an entire webpage, yet the church of reality doesn't deserve one? SMACK THAT BITCH UP YOUR ASS, you hypocritical idiot-rulers of wikipedia! ->"," insult"
"I am also a sockpuppet of CUTKD. Before you block me, let TIW know that they are a HORRID LITTLE SHIT. 82.132.244.134 ->"," severe"
"Sorry, I didn't notice the Sea King image. And thanks, thats great. Just the Harrier is such an icon image of the Royal Air Force. ->"," none"
"Youre an asshole 

youre an asshole ->"," obscene"
"Nearly Headless Nick 

Nearly Headless Nick is fucked up in the head and abueses his admin role! ->"," obscene"
"""

 Gregalton: Douchemaster Supreme 

I'm not an editor, so I really don't have a problem calling you a douchebag. The fact that the article considers anyone who criticizes the practice of FRB as non-mainstream raised the flag in my mind, that is, made me check the discussion page. You've done more to bias the article than these supposed """"conspiracy"""" people probably did. At any rate, fuck Wikipedia, and fuck Gregalton; I wait for the day when Knol (google's wikipedia, written by experts: reality, not wikiality) has a good article under the same title (and it's written by one of these """"non-mainstream"""" economists the article talks about).

You're a douchebag, gregalton.  A big fat fractional reserve banking loving douchebag."" ->"," obscene"
"no worries 

We will use another account, and will not stop until wikipedia stops pushing the evil, sin filled gay agenda ->"," identity"
"this is your final warning. i am a fag. yeah thats right i'm gay. i am a wikipedia admin and i never get laid. 21:24 ->"," toxic"
"""

Hello, thank you very much.  Yes unfortunately someone decided to go ahead and delete the page before anybody could mediate.  After 10 days the discussion was still very much active and no warning was given of deletion, or consideration of the fact that I requested mediation to resolve serious questions pertaining to bias and bad-faith.  Also, during deletion review I have shown that it is doubtful that the closing admin even read the AFD arguments properly and probably wasn't even aware that mediation had been requested.  This admin says there was clear consensus but the fact is that it was claerly shown during AFD that the advocates for deletion could not motivate their own statements, instead chosing to default anyway with """"Delete"""" endorsements.  I am told that the onus of proof lies on me yet I have addressed every single criticism repeatedly whereas they could not and did not submit proof for their own statements.  Also there were many supporters who presented arguments for 'keep' (probably outweighing the number who wanted 'delete') but these arguments were never addressed and the guys at deletion review are telling me that these contributions have zero weight because the people who want to 'keep' are all first-time users.  Deletion review is also proving unhelpful and in my opinion also biased with nobody seriously considering the arguments that have been raised, or really prepared to read through the AFD discussion properly.  I have no idea of what to do next and in fact if anything can be done.  I am extremely disillusioned with this process as it is obvious that prejudgements and lots of Wiki-speak are employed to 'prove' unsuitability, rather than arguments being actually objectively considered. Anyway, thank you for your willingness to help even though it appears to be too late now.   "" ->"," none"
"112SuPeRTR0LL WiLL LiVe FoReVeR!
iF You DoN'T ReSPeCT THe SuPeRTR0LL You WiLL Die You PaTHeTiC FooL!
3 ->"," threat"
"You guys are crazy if you think the Radical SR8 should be in this list. ->"," insult"
"You god damn son of a bitch you fucking blocked me again.  You block me one more time and I’ll rape you and your fucking mom. We’re hicks here and ill run your ass over with a tractor and then shove it up your ass just the way you like it you gay son of a bitch. Thanks for your time ASSHOLE! ->"," threat"
"Unspecified source for Image:NKMajor.gif

Thanks for uploading Image:NKMajor.gif. I noticed that the file's description page currently doesn't specify who created the content, so the copyright status is unclear. If you did not create this file yourself, then you will need to specify the owner of the copyright. If you obtained it from a website, then a link to the website from which it was taken, together with a restatement of that website's terms of use of its content, is usually sufficient information. However, if the copyright holder is different from the website's publisher, then their copyright should also be acknowledged.

As well as adding the source, please add a proper copyright licensing tag if the file doesn't have one already. If you created/took the picture, audio, or video then the  tag can be used to release it under the GFDL. If you believe the media meets the criteria at Wikipedia:Fair use, use a tag such as  or one of the other tags listed at Wikipedia:Image copyright tags#Fair use. See Wikipedia:Image copyright tags for the full list of copyright tags that you can use.

If you have uploaded other files, consider checking that you have specified their source and tagged them, too. You can find a list of files you have uploaded by following [ this link]. Unsourced and untagged images may be deleted one week after they have been tagged, as described on criteria for speedy deletion. If the image is copyrighted under a non-free license (per Wikipedia:Fair use) then the image will be deleted 48 hours after . If you have any questions please ask them at the Media copyright questions page. Thank you.   Talk ->"," none"
"""

 hi ) 

  Fuck You Award As you wish.   "" ->"," severe"
"YOURE GONNA BE A DEAD FAGGOT 66.158.193.58 ->"," threat"
"Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell! ->"," toxic"
"Hi! and Fuck You! 

Eat shit, fucktard. ->"," insult"
"what the hell man? why did you delete my page (savannah hoard) screw you dude

i mean really? if you're not gonna let me have a page then you can go fuck your fat self you 40 year old bitch

your a total bitch who goes around deleting people's pages you fucking disgust me im gonna kick your dorky ass if i ever see that fat thing so you can go fuck yourselfand fuck yourself even more and go have sex with a seashell because your never gettin a girl because your a fattard fat ass lardo bitch fucking 40 year old virgin

your a total bitch...you know that

i hate you go to hell fat ass dorky fattard dorky lardo fat ass fucking bitch 40 year old birgin

bitch dis is my house and you better not mess wit me again bitch! ->"," threat"
"Kill Feldspar 

Feldspar is a blathering idiot that should be publicly executed for his attempted use of force in place of honest debate to reconcile differences in opinion. Forever small minded psuedointellectuals such as he hide behind anti violence laws and become masters at manipulation, abuse of rules, and all manner of passive aggressive means to force others to accept their views. Antiviolence laws are obviously not designed to protect such behavior, rather they are designed to encourage open mindedness towards others viewpoints with the understanding that noone wins when people use force back and forth to overcome each others' opinions. ->"," threat"
"Blah, blah fuckin' blah. with 7 books, a TIME magazine article, several news articles and the presence of a number of celebrities, its notable, if you want a higher notability for it? do the research and add it yourself. You were just bored, feeling like 'improving' some article by slapping a tag on it instead of actually improving it, and nobody would let you touch the Jesus article. Off with ye! ->"," insult"
"HEY ASSHOLE I'LL FIND OUT WHERE YOU LIVE AND BURN DOWN YOUR HOUSE ->"," threat"
"Really! When it is so difficult to get a new one. Wow you are a pencil dick. ->"," toxic"
"Nikkul, please dont remove information without checking the source. I had already given source for it (see link no.22, MTDC) and reused it. I have kept Marine drive name as it is, but its officialy called as Netaji Subhashchandra Bose Road. Should we keep both names?( ) ->"," none"
"bastards, i said nothing about changing it! that was not a complaint! ->"," insult"
"Hey wanna go suck a candy cane dick? ->"," toxic"
"Both of these two people are Gay kids and need to be Taught a Big Lesson from their Daddy so do not interrupt. ->"," identity"
"If you're going to continue making people's lives a misery, I will make your life a living hell unless you stop. Why aren't you dead yet? I hope you are being bullied. ->"," threat"
"You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life. ->"," identity"
"THE USER BIGDUNC IS A LOOBTARD ->"," toxic"
"FUCK OFF YOU COMPLETE TOSSPOT. ->"," obscene"
"Problems with new edits
1. Listing bunch of things under work confusing - and there is no mention of his writings and where he is published. Two clear sections, one music, one writing, would making more sense.
2. The politics section has 110 words describing his views and 192 criticizing them.  The original section cut by SlimVirgin had 6 WP:RS sources describing at length (including through interviews) his politics in an NPOV way. Only 2 of those remain. Yet all 5 of the negative criticism remain. To be truly NPOV and representative of the sources, it should be the other way around.
Please respond to these criticisms. ->"," none"
"No, Assfuckers (has a nice ring to it D) use it as a pejorative term. It offends Macedonians because most of them aren't from Skopje. And even if they are that is not their national identity. Americans don't call Georgians Tbilisians. Пичка ти грчина. Alex ->"," obscene"
"""
Actually I am fully Arabic and Islamic and the correct spelling unlike how you stupid christians have been spelling it is """"Mou'ammar Al Qadhdhaffy"""". But you are all too racist and white and stupid too accept that124.180.159.192  "" ->"," identity"
"America is so much richer with these niggers around. What would we ever do without them? 96.48.13.234 ->"," identity"
"FUCK YOUR LIFE BITCH!  I wasn't vandalizing anything.  I was responding to the idiotic comments made by one of your NAZI STAFF! ->"," identity"
"Good riddance Allah monkey. ->"," identity"
"You like ASS COCK!!!! ->"," severe"
"""

 The word """"Tau"""" is a letter in the Greek Alphabet  Will"" ->"," none"
"What a shock 

A wikipedia admin who happens to be a petty little nazi asshole.
How is that IP banning working out for you? ->"," identity"
"Stabby McPenis 
 Stab
 Stab stab stab ->"," obscene"
"Of course it's also possible that you are, in fact, a dick ->"," insult"
"IM GOING TO KILL YOU 

I JUST WANT YOU TO KNOW THAT ->"," threat"
"Go fuck yourself!!! you fucking delteted it anyway! whats the fucking point of a public Encyclopedia if you delete evrything!?!?!? I've edited a few pages so that they are more dettailed and wtf do you all do!?!!?!?!?!?! fucking get rid of it!!!!!!! and dumb down articles just to cater for you publicly ignorant american twats I hope George Bush gets killed by Islams fuck you all!! ->"," threat"
"And stick it up your asshole. ->"," obscene"
""":::""""WP:DTTR is an essay."""" I didn't say anything about WP:DTTR. I pointed out what is a practice according to members of the community, something I would not merely dismiss out of hand as you seem to do.

""""At what point does an editor here pass your threshold for what constitutes a non-newbie?"""" As for Delta/Triangle (sorry, I don't know how to make triangles on my keyboard), I concluded at the time that he was a newbie for the reasons I mentioned above. It was an explanation of my perception at the time, and not some type of value judgment. But if you really want an answer to your question, I'd say an editor is no longer a newbie when they have a reasonable command of how Wikipedia works, such that they do not make false accusations of copyright infringement, make a point of communicating with image uploaders, and familiarize themselves with the right way to communicate with members of the community.

""""If you believe images should be retained without there being a rationale for that use present..."""" Thank you for making it clear that you either are not reading my messages, or are being deliberately churlish. I didn't say anything about images being retained without a rationale. I already explained clearly above the matter regarding the rationale, and if you're either too illiterate or too lazy to read and comprehend this, then perhaps you should not engage me in discussion.

I made the edit summary that I thought was appropriate, as I'm quite tired of obnoxious deletionists like Triangle who make false accusations and no attempt to communicate with others, as well as persistent liars like yourself who think repeatedly putting words in other people's mouths constitutes """"discussion"""". If you don't like my edit summaries, then tough shit.   

"" ->"," toxic"
"hey pice of shit don't tell me what to write on wikipedia...i'm gona hunt you down and kill everyone you ever loved ->"," threat"
"Hi, fuckwit. You do know that by blocking me you are violating basic human rights and freedom of expression. And by you deleting my rant is just plain ridicilous. That just proves that all you are is a bunch of fascist douche bags that should've been bombed to death in WWII. Now, please kindly fuck off? thank you. ->"," identity"
"""

 For you 

All around  """"GOOD GUY AWARD"""" For Kindness, Watchfulness and Fairness even when frustrated! Mea Culpa
  "" ->"," none"
"DON'T COME TO MY ARTICLE TELLING ME TO DISCUSS 
Don't come to my article telling me to discuss anything. When there was an issue with length from before, I happily and very civilly discussed with you. I just logged in and saw that an entire section had been removed without THIS OTHER USER being told to first discuss. AND STOP FOLLOWING ME ALL OVER THIS DAMN WEBSITE BEFORE I FILE A COMPLAINT ON YOU. For the last several months, you have been following me all about Wikipedia and I am sick and tired of it. ->"," toxic"
"FINE 

CUNT FUCK FAGGOT JIZZ BITCH CUNT WHORE SHIT ASSHOLE FUCKING RETARTED ASS WIPING MUTHER FUCKER!!!
YOU PIECE OF FUCKING CUNT SHIT!!! ->"," identity"
"Part Six Part Two|from_oldid=670352908|to=MC chris discography|diff=https://en.wikipedia.org/w/index.php?title=MC_chris_discography&oldid;=674117969||to_oldid=674117969||date=1 August 2015 ->"," none"
"fuck u 

ur a fuckin faggot ->"," insult"
"Remeber rahmatul lil alameen? You Sunni monkeys should remember this! Stop persecuting Ahmadis you terrorists! ->"," severe"
"talk hey asshole  will you go fuck your dead mother if you're going to spread libel about me as I am guessing you're Carl N. Brown.  Who are you? ->"," obscene"
"YOU IDIOT WHY U DELETE MY PAGE!!! ->"," toxic"
"Stow it! 

Kindly butt the fuck out from interfering with my talkpage. Thanks. ->"," obscene"
"Gross 

If some bitch ever came on me I would throw her gross ass out on the pavement ->"," threat"
"Talk:Request for permissions  As I said, I don't care much for politics, so I'm mot sure if you were violating WP:CIVIL or just WP:ASS but could you tell me why reverted my edits especially since it took me some 2 and a half hours to painstakingly type it on my cellphone? User:ZyXoas no prizes for guessing where my talk page is. ->"," none"
"What's up my nigger? 

Promoting yourself on Wikipedia is a bad idea. You should probably go somewhere else. Maybe you could post some hand-drawn posters in your ghetto? ->"," toxic"
"Dude stop deleteing my posts  

some of them are true and you are being a fucker about it. And dont you have some muslim stuff to do. Fuck off and let me edit my pages you dusche bag arab ->"," identity"
"Talk:Nigger 
 Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.   ☎ ->"," identity"
"You wicked scoundrel. 

Ohnoitsjamie, I hate you, you fool. You think you are a top WP editor. I am envious of you, idiot. May you fail in all your attempts. may you get pregnant and have a miscarriage. You are a dirty, wicked beast! A rascal, a scoundrel and feces-eating mongrel. Dirty jackass, do you have any sense left in you? Now its up to you to decide if I really meant what I said. An old friend (now in IN). -59.95.27.219 ->"," toxic"
"""

I can just imagine John Curtin's response at being """"celebrated"""" by these neo-Nazi cultist filth.  "" ->"," identity"
"== fuck you 
I hope you die motherfucker ->"," threat"
"SHUT YOUR FAT FACE YOU ASS> ->"," toxic"
"Audi A4
YOU ARE ASSHOLE, MOTHERFUCKER, SHIT, FUCK, ASSHOLE. (talk • contributions) ->"," toxic"
"Alison is a douche Hippie, who needs to get her Irish bum a drink. GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!!GO BUSH GO MCCAIN GO BUSH GO MCCAIN! VIVA LA REPUBLICAN!!! ->"," insult"
"Kiss meee arse 

Like its SOOO convincing what you wrote. How about stick a stick up your fat assk. ->"," obscene"
"Are you frickin crazy?  This guy was going around harassing people!  What the hell did I do here!  I never once attacked him!  Neither me, or whoever! ->"," toxic"
"I think I made a pretty good point as for the five basic senses, won't you agree? If WP:FILMPLOT is a valid policy (with which I agree 100% – by the way, it is one of my favorite policies here), then... 87.69.130.159 ->"," none"
"your the troll

fine welcome to this encyclopedia - why do you do this? it is hurtful to call anyone a troll specially if they came with a question for judy blume - not a troll!!!

fine keep it then and get herpes! ->"," insult"
"I'll tell you what I'm not, and that's a useless, towel-headed sand nigger.  All your kind sicken me. ->"," identity"
"Yardie 

Fuckidiot
What you no about YARDIE?

Huh

I live this life in crew

Po lice come around dey prang the gun and Yardie go down.  I see it I cover kids eyes

You tell me you know more about Yardie than me?

You neder even bein nottingahm huh?

You know rio ferdinand you read papers??  You get rid if tings that is fact true fact
because you pig ignorant white boy from not even nottingham or london or brighton where YARDIE life is way of life

You mess with my YARDIE then I tract you down i point my gun and prang you fall

gfuck

good day to you ->"," threat"
"Oshwah is a bellend cunt ->"," toxic"
