"prompt","completion"
"""

+The complete paradigm Transitive        Intransitive       ERG/NOM        ERG/NOM     ABSGroup X  1/3 N- 1st Person N-  k- 1in/3 taN-  1st Person Exclusive taN-  te-/ta- 2/3  Nj-  2nd Person  Nj-  kj- 3/3  j-  3rd Person  j-  Ø ABSGroup Y  3/1  k- 3/1in  te/ta-Group Z  1/2  kN- 2/1  kNj-
(Reilly 2004, 54)"" ->"," none"
"Hello I am Clue Bot, and I am a Niger Fukcing Piece of Shlt. ->"," insult"
"""

Now hear this Somchai Sun cracker.   Some of us here on Wikipedia are not caught up in the racist swindle of using the word """"Islamism"""".  There is nothing wrong with wanting to delete this page -that is not censorship but respect for encyclopedic knowledge, whereas you worshiper of authority want to kiss the ass of all the white scum anti-Muslim pro-war, intellectual nobodies, who want to turn wikipedia into the National Enquirer or some kind of British tabloid.  We won't stand for it so don't bother coming back you simple anti-Semitic pseudo-journalistic charlatan!!!  -   31 July, 2014"" ->"," identity"
"Member of the gaming community are you? Stupid wikipedia loser ->"," insult"
"fuck you and grow up and get a real life and quit living out your pathetic fucking dream of being the boss of people on FUCKING WIKIPEDIA!  you're fucking pathetic...rip off the name tag, take off the paper hat, tell them that you don't wanna flip burgers any more, and GET THE FUCK OFF THIS SITE YOU CHILD! ->"," severe"
"hey are u some kind of bunt hater who is jealous of the bunts wealth u kannadigas are pure shit claiming tulu kodava culture as your own yakshagana is from tulu nadu but u cultureless kannadigas claim it as your own kodava culture is being subdued beacuse nof youa'' u claim konkani vijay mallya as kannadigas shame on you stupid kannadigas ->"," toxic"
"I Dream of Jesus 

Why did you feel the need to revert my SOURCED edit in the I Dream of Jesus article? You may think that you have some kind of ownership over the content of this article, but you are sadly mistaken. I suggest that in the future, you keep your hands off of the LEGITIMATE edits to articles which you have also made contributions to. If you continue to be an asshole and revert edits without just cause, you will be reported to Wikipedia! 24.168.117.85 ->"," insult"
"Back to the kitchen for you! 

Suck my d***, leftist feminazi cunt. ->"," obscene"
"Ok, I will take this to the public. And on your pictures of the cunt FUCK YOU TOO. ->"," toxic"
"NO!! im not gunna sign my posts you ass!!!!  FUCK YEAH SEAKING!!!!!! ->"," severe"
"That's the thing though. I WASN'T making any personal attacks. These jerks are making it seem like I am. ->"," obscene"
"Go fuck yourself asshole. By the way, this IP is an internet cafe so you can block me all the fuck you want. And Cunt, oops, I mean Cun, why don't you consider dusting your face for a reflection of an imbecile? Fucking arrogant prick. ->"," insult"
"Why do you support such vandals as peruvianllama and naconkantari? You use to be cool man. Now you're just GAY. ->"," identity"
"Dick 

Hey, dick.

Why don't you go read the Aqua Teen Hunger Force wiki page for Marines episode and see where it actually says jigsaw. I say that would constitue in other media references, wouldn't you?

Probably not, because it seems all of you wiki monitors are fucking cock sucking assholes who don't understand what the fuck is going on half the time.

Seriously, you're a dick. Did you even read what I wrote, or did you just automatically delete it because you're a cock?

Fuck you to death. ->"," threat"
"""

 Bye Bye Jerk! 

I guess this means you will be crying about the Nazis anymore.  What is your problem with Nazis anyway?  Did you date a Nazi woman and she broke your heart??  What a shame!!!

Your life isn't worth living anymore so pleasee KILL YOURSELF!

You know I'm right.  You've felt this way for a long time.  You've probably been thinking about killing yourself for quite some time.  I'm here to tell you, it's all right.  Go ahead.  Do it.  It won't hurt. Be brave.  All your troubles will be over.  You won't have the pain anymore.  Everyone else?  Don't worry, they'll get by.  

What do you mean It's not your fault things turned out badly?  It certainly IS your fault.  You ought to be ashamed of yourself for what you've done  - and failed to do.  Maybe things could have changed if you weren't such  a weakling.  You're defective.  You've been that way for a long time.  You are proof that God makes mistakes.

Look at your life.  Failure after failure after failure.  And should we mention those """"things"""" that you did?  You know what I'm talking about.  I can't believe you did that!  You disgust me.  You should have died a long time ago.  You know I'm right.  

JUST DO IT!!!"" ->"," obscene"
"I shalt sever thy head at the neck. 

It will be dreadfully slow and painful, in accordance with Wikipedia policies. ->"," threat"
"Covers 

Fuck! I have a cover by Deep Purple and Children O fBodom also. If it's not Children of Bodom, then who the fuck was that? I still have the song. The vocals and everything are so much like Children O fBodom. Do some research on that guys. Also see if Deep Purple did that. I have that one too. ->"," toxic"
"Don't ever show your face where I live and don't ever let our paths cross in this life or the next. ->"," threat"
"Try harder, the evidence is even on Wiki Fred R. Klenner, better on whale.to , which also makes Midgley's WP:RSclaim to be pure WP:POV. ->"," none"
"FUCK YOU YOU ASS HOLE! FUCK YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1111 ->"," severe"
"is a gay faggot that takes it in the butt from other users who control him and manipulate him to indiscriminately ban users with gay cunnilingus

 is a FAGGOT ->"," insult"
"Fucking whore 

You are such a dumb bitch i didn't make any changes whore!!!!!!!!!!!!!!!!!!!!!!!!!!!! ->"," insult"
"Rafe/Robo Rafe 

Does anyone else feel that imposter Rafe should be listed under Galen Gering's name? This is an all inclusive list of CAST MEMBERS, with their respective roles? There are two entries for Josh Taylor, Alison Sweeney, James Scott, and Kristian Alfonso, playing dual roles. Why not Galen Gering? Thoughts? ~~~~ ->"," none"
"16:33, 15 Jun 2005 (UTC) ->"," none"
"Stay out of my business 

Go ahead, keep it up shithead, I'll kick your ass to!!! ->"," threat"
"] 
Amnesty report on ANOTHER case of Greek prohibition of freedom of religion[http://web.amnesty.org/library/Index/ENGEUR250012000?open&of;=ENG-375 ->"," none"
"You're still a closet homosexual. ->"," identity"
"doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life.

You're fucking gay. Get a job and quit arguing with people on the internet. It doesn't make you cool, you aren't adding shit, you're just making it worse. Get a fucking life. ->"," identity"
"I tell you what, why don't YOU FUCK OFF, you cunt. If you didn't delete all my fucking edits then I wouldn't need to leave messages on ur talking page asking u why. (u never actaully did justify why u removed them) ->"," severe"
"hey dickhole i'm gonna fuck you up assface so fuck off shitfucker
-me ->"," obscene"
"OH SHUT UP YOU FUCCIN ASSHOLE! (  ) ->"," severe"
"FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING BITCHES THAT ARE READING THIS. JASENM222 SUCKS FAT DICK.FUCKING ->"," severe"
"""
 Wikimedia Commons 

Thank you for uploading images/media  to Wikipedia! There is, however, another Wikimedia Foundation project called Wikimedia Commons, a central media repository for all free media. In future, please upload media there instead (see m:Help:Unified login). That way, all of the other language Wikipedias can use them too, as well as our many sister projects. This will also allow our visitors to search for, view and use our media in one central location. If you wish to move previous uploads to Commons, see Wikipedia:Moving images to the Commons (you may view images you have previously uploaded by going to your user contributions on the left and choosing the 'image' namespace from the drop down box). Please note that non-free content, such as images claimed as fair use, cannot be uploaded to the Wikimedia Commons. Help us spread the word about Commons by informing other users, and please continue uploading!samaK 

 Waterfalls 
Hamilton looks like an impressive place for waterfalls.  I""""ll certainly have to include it in my list of places to visit.  I can't speak for any of the areas in the Pacific Northwest (which is home to hundreds of high, impressive falls), in North Carolina, according to Kevin Adams' """"North Carolina Waterfalls: A Hiking and Photography Guide"""", our state is estimated to have around 1,000 - 1,500 falls in the state, most of them in Transylvania County, NC (aka """"The Land of Waterfalls"""").  Estimates are that TC contains between 400-500 """"major"""" waterfalls in an area slightly smaller than the City of Hamilton (390 sq mi versus Hamilton's 439 sq mi).  As for what you call """"major"""" - that's pretty much up to the viewer.  One man's gushing torrent is another man's damp spot on the side of a rock.  In TC, a major waterfall is usually considered at least 15-20' high - not including talus - or having enough current to be an obvious waterfall (such as Hooker Falls).

If you ever get the chance to visit NC, please do.  We've got a lot of beautiful, rugged country.  To this day, I get reports about new waterfalls discovered by people who are just now able to scamper through some of the roughest terrain the east coast has to offer.    

Part of the problem with defining the """"City with the most waterfalls"""" is that neither term is overly well defined.  """"City"""" can mean """"town limits"""" or """"Metropolitan Area"""" or any other of a dozen different definitions.  Then you have the problem with the exact definition of a waterfall.  Ergo, you have the problem.   

Trail in New Zealand
I don't know of another town with that many waterfalls.  However I do know that when it rains really heavily the valley that you walk up first on the Milford Track, has over 300 waterfalls. -   

Waterfalls
There are loads of waterfalls in Washington State in the Olympic and Cascade mountains.  I am only really documenting major waterfalls, not all the little ones.  Konrad    

Fudge

Where on the blogspot site does it say that, you need to link to the specific page. And a fansite doesn't really count as a reliable source. Twa2 

Waterfalls
Regarding the 100 waterfalls Hamilton, I am unaware of another city area with that many.  There are probably """"areas"""" with about that much, such as the Columbia River Gorge, but the exact number there I am ignorant of and they are not that many major ones.  Here on the Olympic Peninsula we have a number of falls, but it is a really large area and probably does not reach the density that you have indicated there in Hamilton.  However it must be noted that I am a amateur at this and am ignorant of much   

Media in Hamilton, Ontario
Because media lists of this type were formerly titled in a variety of naming formats, there was a discus ->"," none"
"A BIG FUCK YOU TO YOU, SCUM OF THE EARTH!!! YOU ARE NOT A GENTLEMAN!!! 

A big fuck you to you, motherfucker!!! You, sir (if that's the word) are not a gentleman. You just deleted Olamot Con and for that you deserve the 10th level of Hell, which is reserved for wikipedia deletionists, because the first 9 levels are too mild for them. I hope Chuck Norris deletes you and all other deletionists quickly and painfully. This talk page is full of your deletionism exploits, and everyone in the world hate you. I hope you die childless soon so the scum of you won't reproduce.

Sorry, I just had to get it out of my head. But, seriously now - please reconsider your attitude and don't enact Internet force towards people and their work - “Where they have burned books, they will end in burning human beings.”. ->"," obscene"
"Country of Origin of AMVCA 
Happy Weekend Jamie. What do you think should be the country of origin of AMVCA...normally it should have been South Africa since Multichoice Africa headquaters is located in SA but the award ceremony and nomination parties has been done in Nigeria only since inception and the organizers of the award are mostly Nigerians. According to Wikipedia guidelines do you think it should still be South Africa? ->"," none"
"Fuck You

Go suck on a fat dick faggot mother fucker. I'm the the wrong person to fuck with you puck ass pussy! I would keep my moth shut, or I can shut for you! ->"," severe"
"Fire not caused by Students but by Prop 8 Protesters ->"," none"
"Gogo Dodo is a rogue admin that has sex with his father ->"," insult"
"fuck you 

i hate you why do you delete pages do you have a life are you gay if you make the page marring manz you hall be cool however at the moment you are gay ->"," identity"
"the 9/11 paranoia award 

I present you with this award. Thank you for displaying you're idiocy to the world. I really am sad to hear that you have an IQ of 50. Better pack your bags before the marshons come. ->"," toxic"
"""==No, you are==
Patrick, I think we can all clearly see that you really are the uneducated """"fucker"""" in this case.   "" ->"," severe"
"Hot Rod 
hey dumb ass what are you doing to my article Hot Rod ? are you the president of wikipedia ? if it ain't broke don't fix it. ->"," toxic"
"Insult for MusikAnimal 
, you're a fucking shit, the reason that i'm insulting is because you blocked me, fuck you Wikipedia. ->"," insult"
"""

 YOU MOTHERFUCKER 

  YOU MOTHERFUCKER You're dead...enough said   "" ->"," threat"
"""

 Content included in this list 

Hi guys; it's been a very long time since i've been here, I would just like to point out that this list is to only include documentrays with a related wikipedia article. Jack In "" ->"," none"
"wer do u live 

wer do u live marybelle i wanna fuk u ->"," obscene"
"I knew you were a dick but a fag too?

nice job on the morgan discussion

I liked how you buried the comments in the archive section ->"," insult"
"FAGGOTS!  YO FUCKER IT WAS FUCKING HAYES YOU FAGGOT, NOT VITO.  VITO WASNT WITH WWE IN 2004 YOU FUCKING FAG.  FAG, YOU ARENT RIGHT GO FUCKING JUMP OFF A BRIDGE YOU FAG ->"," threat"
"you are a stupid fuck 

and your mother's cunt stinks ->"," severe"
"Fuck you!!!!!!!!!!!! 

and your foot ->"," severe"
"8=====D- - - 
8=====D- - - -
8======D- - -                
8=====D- - - 
8========D- - - 
8=======D- - - -
8=====D- - - - -
8=======D- - - -

I hope you liberal faggots die and go to hell! Barack Obama 2008! ->"," toxic"
"The king of stupid unconstructive edits is you.  Go fuck yourself. ->"," severe"
"your a fag suck a dick monky nigger lover. ->"," insult"
"SLEEP WITH ME OR I WILL FUCKING KILL YOU AND BLOCK YOU! ->"," obscene"
"""* LOL, haha, you fuckin loser Wobbs, yeah maybe I am Epf......NOT. Although he shares some views with me on race, hes some dumb Italian-British mut from Canada that actually annoys me. I have used other accounts on here, but with other anon. accounts, not as a registered user (which is allowed by Wikipedia since IP #'s change all the time). Hahaha, Wobbs, you are a fool, especially with how you place so much emphasis on those books recently released by Sykes, etc. which are a minority opinion in the world of population geneticists and other researchers. For your information, Racial Reality isn't a """"neo-nazi"""" site you anarchist loser with no hope because your life is meaningless and you don't know ANYTHING on what you read about with these issues. RR is a neutral point of view that seeks to refute neo-nazi, white supremacists, multi-racial, race-denier, assimilationist, biased opinions that influence works including the authors of those books you mentioned. Stick to being a pathetic lab assistant and get a life you fuckin tool and stop vandalizing pages and makin edits to suit your twisted opinons you fool. Hahaha, wow, do u accuse 'sock pupety"""" of everyone who gets under you skin you douchebag ???  

"" ->"," severe"
"Urgent!!!! 

Mind yo own fucken buisiness stop fucken changing my shit fuck you!!! eat a mutha fucken dick. Ill beat yo ass come find me nigga i go here! ->"," threat"
"Oh of fuck you asshole die im going to kill you  96.244.254.20 ->"," obscene"
"List of Governors of Puerto Rico 

I'll do some work on this in the next few days; I think first of all that it could easily be split into two articles, Governor of Puerto Rico, describing the office, and the list, having a list. ->"," none"
"""
Yeah well, I didn't appreciate Kelapstick's snide """"you've been here for years and should know better bullshit"""". As I made clear I am not an admin and can't move articles over redirects. I can't nominate an article for deletion in userspace, it tells you it has to be an article space. I can't have a redirect deleted when it's contentious. So I did my fucking best and he can take his snide comments and shove em. I had to do another AfD and it's still not right because it doesn't show the previous ones. It's a colossal waste of my fucking time and I don't appreciate it. The article has been moved all over the freaking place wily nily including into my userspace where someone who is not welcome on my talkpage shouldn't mucking about. The consensus for the article is clear as it was in 2012. So this whole escapade is an exercise in futility. And then we have your other buddy Hafspajen jumping in with his nasty innuendos and repeated accusations of bad faith. So you want to rein in the incivility? Go for it Drmies. But don't get made at me for telling the truth. When you guys create a mess and involve yourself in it and muck it up, and you get stuck doing mopping I don't break a sweat. Cry me a river. I don't create articles in bad faith EVER and I don't edit in bad faith EVER and I try to keep a sense of humor about all the attacks I face, but I don't like it. So if I hurt your feelings, good. You deserve it. Show your fellow lowly editors a little respect in the future and don't act like such arrogant wp:dicks. Does that article still exist? I remember some fascinating debate about it. I'm sorry if you have to eat your own pudding on occasion. Next time order something else.   "" ->"," none"
"fuckin crikey fuck off ya fuckin bloke. Crikey. ->"," severe"
"I never edit on wikipedia!!!!! What the f*ck are you doing , Bbb23 , you s*n of b*ch of b*stard ->"," obscene"
"Both of these two people are Gay kids and need to be Taught a Big Lesson from their Daddy so do not interrupt. ->"," identity"
"Gross 

If some bitch ever came on me I would throw her gross ass out on the pavement ->"," threat"
"You... 

You are attacking me again, beacuse I am . Do you remember me, fucking man? Now, I see that you want destroy my work again. This time, you will die, fucking Ryulong. ->"," threat"
"crazy nerd who dislikes women ->"," insult"
"you both 

are little faggots with no lives so maybe you both should meet up and suck each others cocks all night long and maybe just maybe you both will get married in massachutes. ->"," toxic"
"""

Brief test 2.- (talk • contribs •  count) "" ->"," none"
"AWWW MAH GAWD LOIK DIS MOVY GETS ME SOOOO MOIST LOIK I CUD FUK DAT CASPA CAUSE HES A REALLY NICE GUY BUT DAT TELLY EWWWW NEVER NEVER HEHE NEVER HED JUST HAVE TO RAPE MOI SEXY BOD BRING IT OOOOON ;) ! AWWW MAH GAWD ALL DA SEXY NIGER GS AND STUDS STRUTEN AROUND LOOKEN 4 SEX GETS ME SOOO MOIST LIKE I AM A DEVOUT CROATIAN CATHOLIC AND LOIK AWWW MAH GAWD I JUST CUMD ALL OVA DA COMPUTA CHAIR STINKY CROATIAN DEVOUT CATHOLIC PUSSY BEIGE COLORD CUM CREAMIN OUTTA MY PUSSY ALL OVA DA COMPUTA CHAIR AWWW MAH GAWD IM GAGIN 4 IT LOIK HOMIE G NIGGR COCK RAPING ME LIKE AWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW MAH GAWD IM DROOLEN STIKIN MOUSE UP MAH PUSSY AWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW211.28.54.73 ->"," insult"
"You are a fucking Nazi... 

Everything I wrote on my page was well written and factual.  You are obviously a racist Nazi Jew. ->"," identity"
"queer 

wow ur so fucking gay u should go die ->"," threat"
"Aget a fucking lifeutosigned ->"," obscene"
"CaliforniaAliBaba is a Bitch
Go fuck yourself you bitch ass motherfucker. Don't you ever in your fucking life threatening me you fucking piece of shit you. You don't know me I will fucking kill your ass you punk pussy bitch. tell your mama to my black dick. ->"," identity"
"you are still a stupid cunt of a whore! 

you are still a stupid cunt of a whore! ->"," severe"
"Also, I burn jews for fun. ->"," identity"
"Oh not you again!!! And so? After the block has expired, Im gonna kick Gwerns ass again you admin wannabe!!! Im gonna rape you all!!! ->"," threat"
"December 2014 (UTC)
Yeah I saw that when I saw perusing the questions page, and glad I didn't need to answer a question about it. Though I think the change from my initial position to my final position is what's needed an admin active in ArbCom enforcement (or ArbCom). Thanks ) (I guess it's probably about time I start writing again).  (talk • contribs • logs) 06:25, 10 ->"," none"
"KORG IS A MORON! 216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  216.229.227.144  [[Special:Contributions/216.229.227.144|216.229.227.14 ->"," toxic"
"Σ IS A GIGANTIC ASSHOLE. 

Σ IS A GIGANTIC ASSHOLE. ->"," severe"
"""

 F­uc­k you, a­ss­hole 

  F­uc­k you, a­ss­hole Motherf­­ucker!   "" ->"," severe"
"Message for J Barber 

For Your Information, I am not a student at UNSW. If you keep up this shit, I will simply behead you.

AM I CLEAR?

122.106.59.22  , Your friend 767-249ER, admin. ->"," obscene"
"Che was a fucking bastard piece of shit==

The day that motherfucker was shot like the dog he was was a glorious motherfucking day for the rest of Latin America. If you have a problem with this statement, lets meet in person. Murderers and antiheros deserve no accolades. Not even from brainless, hypocritical Marxist pigs.

== ->"," obscene"
"LOL - you thought your sources - including the TBR were more reliable than Boxing News. You know nothing about boxing.

You're also a fucking liar.

The jokes that is Ring magazine uses caps, which contradicts your own personal format; http://ringtv.craveonline.com/ratings/super-middleweight

WBC varies and uses yet another format; http://wbcboxing.com/wbceng/champions

WBO using fucking hypens here in yet another format; http://www.wboboxing.com/our-champions/

Your sources are all over the place with formats you stupid bastard. LOL.

Boxing News is far more credible and consistent.

More correct sources fuckwit;

http://www.telegraph.co.uk/sport/othersports/boxing/11626770/James-DeGale-claims-super-middleweight-title-with-points-win-over-Andre-Dirrell-in-Boston.html

http://www.independent.co.uk/sport/general/boxing/andre-dirrell-vs-james-degale-on-saturday-degale-can-join-britains-great-list-of-supermiddleweight-champions-says-steve-bunce-10259295.html

FYI....boxing was created in the uk ->"," obscene"
"I don't understand what the big deal is. There are lots of non-trivial ways that wood has been used throughout history. See Wood in popular culture. ->"," none"
"Oh, no! I just read the vile diatribe you left for me on my user page. No, you get no respect you pathetic little shit. Fuck you, you're an unhappy little dick puller! ->"," obscene"
""" 2015 (UTC)

 First a suggestion for Sarah Welsh, if you are """"struggling"""", and that too with the very first words of the article , just hold off rather than going ahead and still editing the article (and making it, as you did in this case, almost impossible for anyone to comprehend). This is not someone's personal blog, but a page with more than 2000 daily views. So please act with discretion.

 Second, your allegation that my edits """"distorted and misrepresented the sources such as Nesbitt's OUP book"""" is a complete LIE. I did not even bring in the Nesbitt book. So, again, as has been found out on many prior occasions, don't mislead people and please show some civility. Rather, it is you who removed reliably sourced content that did not comply with your own biased views, while you were on your massive blind spree to undo all my edits. For instance, I had quoted directly from Mansukhani, Introduction to Sikhism, that I had referenced when mentioning word of God """"The Granth presides over all congregations and represents the word of God in permanent form"""", which you blindly removed.

 Coming now to the sentence in the first paragraph on the key beliefs, I had made an edit a few days ago. You again made modifications to them. I suggest you actually go and read the sources well. In any case, I have added another source, and all the beliefs I have included are now present in the three cited sources. Now of course, to make complete sentences and for improved readability, I have to add some of my own words. (e.g., key beliefs are """"engaging in"""" selfless service, """"striving for"""" social justice; rather than selfless service, social justice.) I urge you to exercise extreme restraint and caution from here on, rather than engaging in uncivilized behavior and/or edit-warring.   07:22, 10 October"" ->"," none"
"I know this is old, but I would just like to mention that I have actually played F0 on a B Tuba personally using the standard 'buzzing' technique, so I can vouch for that note definitely being in the extended range of a Tuba. In principle, even a standard 3-valve Tuba should be able to play E0 a half step lower as long as the instrumentalist can 'buzz' that low. (Which is very hard to do, imo). 76.14.232.104 ->"," none"
"You are Hitler's missing bollock ->"," toxic"
""":::Of course noone thought he was claiming to be a jelly doughnut. And I trust Slomox, if noone was amused by the """"double-entendre"""", noone was. It could be that they didn't expect German so abruptly.

"" ->"," none"
"Jew supremacist liar. 146.179.213.55 ->"," identity"
"the update should help anyway ->"," none"
"You're not an admin 

You act like an admin, but you're not an admin. Don't even fucking act like that. You're trying to fuck me up but you can't do any shit like that. As a sofa lands on the ground, your mother gets her tits squashed and dies and a dead rabbit falls from the clouds and lands on your ass, licking your ass. User:Factual80man ->"," obscene"
"Bare Behind Bars?

You gave me a level 2 warning, what the fuck is that all about...

You one of these power drunk admins? ->"," obscene"
"Stick it up your arsehole, cunt ->"," insult"
"wtf 

Fuck You WHat THe Hell Do You Think Your Doing Because Your An Admin ON A Power Hungry Strike Doesnt Mean You SHould Tell People WHat To Do You Dumb Faget......You Fucking Jap Bitch ->"," severe"
"I do have an account, but I do not want my IP filled with these messages either.  Please either remove them or add warnings to theirs, since they did EXACTLY the same thing. ->"," none"
